group,playbook,start1,end1,date1,title1,location1,start2,end2,date2,title2,location2,start3,end3,date3,title3,location3,start4,end4,date4,title4,location4,start5,end5,date5,title5,location5,start6,end6,date6,title6,location6,start7,end7,date7,title7,location7
er game master 1,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 1,4a20,16:00,17:00,22-Aug,Escape Room,4a20,17:00,17:30,22-Aug,Reset Escape Room,4a20,17:30,18:30,22-Aug,Escape Room,4a20,18:30,19:00,22-Aug,Escape Room Cleanup,4a20,,,,,
er game master 2,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 2,4a22,16:00,17:00,22-Aug,Escape Room,4a22,17:00,17:30,22-Aug,Reset Escape Room,4a22,17:30,18:30,22-Aug,Escape Room,4a22,18:30,19:00,22-Aug,Escape Room Cleanup,4a22,,,,,
er game master 3,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 3,4a58,16:00,17:00,22-Aug,Escape Room,4a58,17:00,17:30,22-Aug,Reset Escape Room,4a58,17:30,18:30,22-Aug,Escape Room,4a58,18:30,19:00,22-Aug,Escape Room Cleanup,4a58,,,,,
er game master 4,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 4,3a52,16:00,17:00,22-Aug,Escape Room,3a52,17:00,17:30,22-Aug,Reset Escape Room,3a52,17:30,18:30,22-Aug,Escape Room,3a52,18:30,19:00,22-Aug,Escape Room Cleanup,3a52,,,,,
er game master 5,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 5,3a54,16:00,17:00,22-Aug,Escape Room,3a54,17:00,17:30,22-Aug,Reset Escape Room,3a54,17:30,18:30,22-Aug,Escape Room,3a54,18:30,19:00,22-Aug,Escape Room Cleanup,3a54,,,,,
er game master 6,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 6,3a18,16:00,17:00,22-Aug,Escape Room,3a18,17:00,17:30,22-Aug,Reset Escape Room,3a18,17:30,18:30,22-Aug,Escape Room,3a18,18:30,19:00,22-Aug,Escape Room Cleanup,3a18,,,,,
er game master 7,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 7,3a20,16:00,17:00,22-Aug,Escape Room,3a20,17:00,17:30,22-Aug,Reset Escape Room,3a20,17:30,18:30,22-Aug,Escape Room,3a20,18:30,19:00,22-Aug,Escape Room Cleanup,3a20,,,,,
er game master 8,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 8,3a12,16:00,17:00,22-Aug,Escape Room,3a12,17:00,17:30,22-Aug,Reset Escape Room,3a12,17:30,18:30,22-Aug,Escape Room,3a12,18:30,19:00,22-Aug,Escape Room Cleanup,3a12,,,,,
er game master 9,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 9,3a14,16:00,17:00,22-Aug,Escape Room,3a14,17:00,17:30,22-Aug,Reset Escape Room,3a14,17:30,18:30,22-Aug,Escape Room,3a14,18:30,19:00,22-Aug,Escape Room Cleanup,3a14,,,,,
er game master 10,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 10,2a20,16:00,17:00,22-Aug,Escape Room,2a20,17:00,17:30,22-Aug,Reset Escape Room,2a20,17:30,18:30,22-Aug,Escape Room,2a20,18:30,19:00,22-Aug,Escape Room Cleanup,2a20,,,,,
er game master 11,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 11,2a52,16:00,17:00,22-Aug,Escape Room,2a52,17:00,17:30,22-Aug,Reset Escape Room,2a52,17:30,18:30,22-Aug,Escape Room,2a52,18:30,19:00,22-Aug,Escape Room Cleanup,2a52,,,,,
er game master 12,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 12,2a54,16:00,17:00,22-Aug,Escape Room,2a54,17:00,17:30,22-Aug,Reset Escape Room,2a54,17:30,18:30,22-Aug,Escape Room,2a54,18:30,19:00,22-Aug,Escape Room Cleanup,2a54,,,,,
er help 1,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 1,4a20,,,,,,,,,,,,,,,,,,,,,,,,,
er help 2,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 2,4a22,,,,,,,,,,,,,,,,,,,,,,,,,
er help 3,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 3,4a58,,,,,,,,,,,,,,,,,,,,,,,,,
er help 4,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 4,3a52,,,,,,,,,,,,,,,,,,,,,,,,,
er help 5,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 5,3a54,,,,,,,,,,,,,,,,,,,,,,,,,
er help 6,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 6,3a18,,,,,,,,,,,,,,,,,,,,,,,,,
er help 7,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 7,3a20,,,,,,,,,,,,,,,,,,,,,,,,,
er help 8,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 8,3a12,,,,,,,,,,,,,,,,,,,,,,,,,
er help 9,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 9,3a14,,,,,,,,,,,,,,,,,,,,,,,,,
er help 10,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 10,2a20,,,,,,,,,,,,,,,,,,,,,,,,,
er help 11,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 11,2a52,,,,,,,,,,,,,,,,,,,,,,,,,
er help 12,Activity,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:20,15:20,22-Aug,Setup Escape Room 12,2a54,,,,,,,,,,,,,,,,,,,,,,,,,
er theme group A,Activity,14:30,15:00,22-Aug,Escape Room - Walker meeting,,15:30,16:00,22-Aug,Escape Room - Theme groups meet,Atrium,16:00,17:00,22-Aug,Escape Room with your theme group,,17:00,18:30,22-Aug,Afternoon chill activities with your theme group,,,,,,,,,,,,,,,,
er theme group B,Activity,14:30,15:00,22-Aug,Escape Room - Walker meeting,,15:30,16:00,22-Aug,Escape Room - Theme groups meet,Atrium,16:00,17:30,22-Aug,Afternoon chill activities with your theme group,,17:30,18:30,22-Aug,Escape Room with your theme group,,,,,,,,,,,,,,,,
er responsible,Activity,12:00,18:30,22-Aug,Overall responsibility for Escape Room,,14:00,14:15,22-Aug,Escape Room - Game masters + Helpers meeting,,14:30,15:00,22-Aug,Escape Room - Walker meeting,,,,,,,,,,,,,,,,,,,,,
tue ea bracelets,Activity,19:30,21:30,22-Aug,Evening Activities - Bracelets,,19:00,19:15,22-Aug,Evening Activities - Briefing,,,,,,,,,,,,,,,,,,,,,,,,,,
tue ea mariokart,Activity,19:30,21:30,22-Aug,Evening Activities - Mariokart,,19:00,19:15,22-Aug,Evening Activities - Briefing,,,,,,,,,,,,,,,,,,,,,,,,,,
tue ea clean,Activity,21:30,22:00,22-Aug,Tuesday cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tue go-to,Activity,18:30,22:30,22-Aug,Tuesday Go-to shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation helpers ddit,Academic,10:30,12:30,23-Aug,Intro project presentations with DDIT,Aud3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation helpers ds,Academic,12:00,13:45,23-Aug,Intro project presentations with DS,Aud2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation helpers gbi,Academic,13:00,14:30,23-Aug,Intro project presentations with GBI,Aud0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation helpers swu,Academic,12:30,15:15,23-Aug,Intro project presentations with SWU,Aud1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc responsible,Activity,12:00,21:00,23-Aug,Overall responsibility for Grill n' Chill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc shift 1,Activity,14:00,14:15,23-Aug,Grill n' Chill - Grill shift briefing,3a52,14:15,15:30,23-Aug,Grill n' Chill - Grill shift (setup + start grilling),,,,,,,,,,,,,,,,,,,,,,,,,,
gnc shift 2,Activity,14:00,14:15,23-Aug,Grill n' Chill - Grill shift briefing,3a52,15:30,16:30,23-Aug,Grill n' Chill - Grill shift,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc shift 3,Activity,14:00,14:15,23-Aug,Grill n' Chill - Grill shift briefing,3a52,16:30,17:30,23-Aug,Grill n' Chill - Grill shift,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc shift 4,Activity,14:00,14:15,23-Aug,Grill n' Chill - Grill shift briefing,3a52,17:30,19:00,23-Aug,Grill n' Chill - Grill shift (clean the grills),,,,,,,,,,,,,,,,,,,,,,,,,,
gnc clean 1,Activity,16:00,16:30,23-Aug,Grill n' Chill - Cleaning and Slush ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc clean 2,Activity,16:30,17:00,23-Aug,Grill n' Chill - Cleaning and Slush ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc clean 3,Activity,17:00,17:30,23-Aug,Grill n' Chill - Cleaning and Slush ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc clean 4,Activity,17:30,18:00,23-Aug,Grill n' Chill - Cleaning and Slush ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc clean 5,Activity,18:00,18:30,23-Aug,Grill n' Chill - Cleaning and Slush ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc clean 6,Activity,18:30,19:00,23-Aug,Grill n' Chill - Cleaning and Slush ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc clean 7,Activity,19:00,19:30,23-Aug,Grill n' Chill - Cleaning and Slush ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnc clean 8,Activity,19:30,20:00,23-Aug,Grill n' Chill - Cleaning and Slush ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wed ea werewolf,Activity,18:00,18:15,23-Aug,Evening Activities - Briefing,3a52,19:00,20:00,23-Aug,Evening Activities - Werewolf,,,,,,,,,,,,,,,,,,,,,,,,,,
wed ea mariokart,Activity,18:00,18:15,23-Aug,Evening Activities - Briefing,3a52,19:00,21:00,23-Aug,Evening Activities - Mario Kart,,,,,,,,,,,,,,,,,,,,,,,,,,
wed ea music bingo,Activity,18:00,18:15,23-Aug,Evening Activities - Briefing,3a52,20:00,21:00,23-Aug,Evening Activities - Music Bingo,,,,,,,,,,,,,,,,,,,,,,,,,,
wed ea movie night,Activity,18:00,18:15,23-Aug,Evening Activities - Briefing,3a52,20:00,22:00,23-Aug,Evening Activities - Movie Night,,,,,,,,,,,,,,,,,,,,,,,,,,
wed popcorn machine 1,Activity,19:00,20:30,23-Aug,Popcorn Machine shift - setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wed popcorn machine 2,Activity,20:30,22:00,23-Aug,Popcorn Machine shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wed popcorn machine 3,Activity,22:00,23:00,23-Aug,Popcorn Machine shift - cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wed ea clean,Activity,21:30,22:00,23-Aug,Wednesday cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wed go-to,Activity,15:30,22:30,23-Aug,Wednesday Go-to shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gb shift 1,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,11:30,12:30,24-Aug,GoBoat shift,,11:00,17:00,24-Aug,Chill at Islands Brygge,Islands Brygge 10,,,,,,,,,,,,,,,,,,,,
gb shift 2,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,11:45,12:45,24-Aug,GoBoat shift,,11:00,17:00,24-Aug,Chill at Islands Brygge,Islands Brygge 10,,,,,,,,,,,,,,,,,,,,
gb shift 3,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,12:00,13:00,24-Aug,GoBoat shift,,11:00,17:00,24-Aug,Chill at Islands Brygge,Islands Brygge 10,,,,,,,,,,,,,,,,,,,,
gb shift 4,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,12:15,13:15,24-Aug,GoBoat shift,,11:00,17:00,24-Aug,Chill at Islands Brygge,Islands Brygge 10,,,,,,,,,,,,,,,,,,,,
gb shift 5,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,12:30,13:30,24-Aug,GoBoat shift,,11:00,17:00,24-Aug,Chill at Islands Brygge,Islands Brygge 10,,,,,,,,,,,,,,,,,,,,
gb shift 6,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,12:45,13:45,24-Aug,GoBoat shift,,11:00,17:00,24-Aug,Chill at Islands Brygge,Islands Brygge 10,,,,,,,,,,,,,,,,,,,,
gb shift 7,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,13:00,14:00,24-Aug,GoBoat shift,,11:00,17:00,24-Aug,Chill at Islands Brygge,Islands Brygge 10,,,,,,,,,,,,,,,,,,,,
gb responsible,Activity,10:45,18:00,24-Aug,Overall responsibility for Goboats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gb clean,Activity,17:00,18:00,24-Aug,GoBoats cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thur go-to,Activity,10:45,18:00,24-Aug,Thursday Go-to shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fri go-to,Activity,20:00,02:00,25-Aug,Friday Go-to shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyone,Activity,20:00,21:00,23-Aug,Grill cleanup,,20:00,02:00,25-Aug,Intro party,ScrollBar,02:00,03:00,25-Aug,Friday cleanup,,,,,,,,,,,,,,,,,,,,,
ddit buddy presentations,,13:15,13:45,21-Aug,DDIT presentations,Aud3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sps,,11:15,11:30,21-Aug,SPS presentation for DS,Aud2,14:00,14:15,22-Aug,SPS presentation for SWU,Aud1,14:45,15:00,22-Aug,SPS presentation for DDIT,Aud3,15:00,15:15,22-Aug,SPS presentation for GBI,Aud0,,,,,,,,,,,,,,,
